game_date,game_pk,home_team,away_team,launch_speed,launch_angle,hit_distance_sc,hc_x,hc_y,bb_type,inning,inning_topbot,pitch_number,at_bat_number,events
2017-07-09,491428,SF,MIA,95.4,23.688,361.0,118.23,38.69,fly_ball,11,Bot,3,101,triple
2017-07-09,491428,SF,MIA,100.8,23.995,391.0,63.37,45.28,fly_ball,11,Top,5,99,home_run
2017-07-09,491428,SF,MIA,94.1,28.327,375.0,57.15,65.67,line_drive,11,Top,3,97,home_run
2017-07-09,491425,TOR,HOU,101.3,35.239,388.0,218.18,61.83,fly_ball,9,Bot,2,91,home_run
2017-07-09,491428,SF,MIA,87.3,3.115,65.0,114.48,127.08,ground_ball,10,Top,4,87,single
2017-07-09,491424,CLE,DET,81.6,15.498,214.0,169.84,103.14,line_drive,9,Bot,6,80,single
2017-07-09,491425,TOR,HOU,100.9,-10.14,12.0,136.05,139.67,ground_ball,9,Top,2,84,single
2017-07-09,491425,TOR,HOU,92.9,-15.751,7.0,125.15,201.56,ground_ball,9,Top,5,83,double
2017-07-09,491429,NYY,MIL,93.0,-18.281,9.0,74.89,111.74,ground_ball,9,Top,6,73,single
2017-07-09,491424,CLE,DET,99.6,-14.279,6.0,116.7,136.4,ground_ball,9,Top,2,75,single
2017-07-09,491432,CHC,PIT,101.6,20.605,382.0,97.22,44.9,line_drive,9,Bot,2,87,double
2017-07-09,491428,SF,MIA,106.8,6.125,166.0,87.69,106.9,line_drive,9,Top,3,82,single
2017-07-09,491419,WSH,ATL,106.7,11.106,192.0,212.05,105.66,line_drive,9,Top,2,75,double
2017-07-09,491432,CHC,PIT,99.7,21.04,364.0,104.72,46.83,line_drive,9,Bot,3,84,double
2017-07-09,491419,WSH,ATL,98.1,6.584,152.0,62.44,134.81,line_drive,8,Bot,2,73,double
2017-07-09,491425,TOR,HOU,98.4,14.407,260.0,123.8,109.58,line_drive,8,Bot,5,77,single
2017-07-09,491419,WSH,ATL,101.5,-8.461,17.0,174.31,112.07,ground_ball,8,Bot,3,71,single
2017-07-09,491428,SF,MIA,75.3,6.549,88.0,183.89,113.01,ground_ball,8,Bot,5,77,single
2017-07-09,491432,CHC,PIT,103.2,26.572,422.0,159.48,22.81,fly_ball,9,Top,4,81,home_run
2017-07-09,491419,WSH,ATL,87.9,-18.443,4.0,116.3,103.24,ground_ball,8,Bot,2,70,single
2017-07-09,491422,COL,CWS,75.8,9.982,169.0,70.23,120.08,line_drive,9,Top,5,70,single
2017-07-09,491419,WSH,ATL,77.0,20.855,225.0,77.92,118.42,line_drive,8,Bot,5,69,single
2017-07-09,491428,SF,MIA,82.4,12.817,191.0,94.88,110.11,line_drive,8,Bot,2,76,single
2017-07-09,491420,MIN,BAL,107.8,2.66,107.0,158.56,175.96,line_drive,8,Bot,2,73,double
2017-07-09,491432,CHC,PIT,100.0,8.571,224.0,105.76,109.04,line_drive,8,Bot,1,78,single
2017-07-09,491428,SF,MIA,73.7,23.916,213.0,72.82,128.13,line_drive,8,Bot,4,74,single
2017-07-09,491428,SF,MIA,81.2,20.158,240.0,93.21,105.46,line_drive,8,Bot,1,73,single
2017-07-09,491421,TB,BOS,98.7,-0.616,41.0,141.51,76.24,ground_ball,9,Top,3,71,single
2017-07-09,491428,SF,MIA,80.8,-16.711,11.0,126.37,139.47,ground_ball,8,Bot,6,72,single
2017-07-09,491421,TB,BOS,104.0,26.697,419.0,99.94,17.43,fly_ball,8,Bot,4,69,home_run
2017-07-09,491420,MIN,BAL,109.4,8.05,204.0,79.4,96.57,line_drive,8,Top,1,68,single
2017-07-09,491420,MIN,BAL,94.3,17.604,291.0,101.17,79.66,line_drive,8,Top,4,67,single
2017-07-09,491432,CHC,PIT,105.0,-2.795,31.0,188.15,109.19,ground_ball,7,Bot,5,71,single
2017-07-09,491420,MIN,BAL,84.6,15.15,226.0,176.36,103.85,line_drive,8,Top,4,66,single
2017-07-09,491419,WSH,ATL,107.3,10.42,236.0,41.15,99.6,line_drive,8,Top,6,64,double
2017-07-09,491429,NYY,MIL,70.2,25.719,219.0,74.21,123.92,fly_ball,7,Bot,4,60,single
2017-07-09,491433,PHI,SD,80.7,9.439,168.0,129.52,110.96,line_drive,9,Top,6,68,single
2017-07-09,491424,CLE,DET,109.3,10.432,214.0,176.12,95.9,line_drive,7,Bot,3,61,single
2017-07-09,491433,PHI,SD,89.2,24.931,296.0,32.54,108.16,fly_ball,9,Top,1,67,double
2017-07-09,491424,CLE,DET,76.2,23.579,236.0,183.92,119.1,line_drive,7,Bot,2,60,single
2017-07-09,491425,TOR,HOU,104.5,28.349,411.0,123.02,24.73,fly_ball,7,Top,1,66,home_run
2017-07-09,491424,CLE,DET,98.4,32.276,375.0,218.09,69.02,fly_ball,7,Bot,7,59,home_run
2017-07-09,491425,TOR,HOU,99.4,4.934,102.0,96.39,124.84,ground_ball,7,Top,4,65,single
2017-07-09,491427,TEX,LAA,99.4,18.801,373.0,75.08,49.08,line_drive,9,Top,5,63,double
2017-07-09,491432,CHC,PIT,91.6,-3.211,33.0,172.43,101.08,ground_ball,6,Bot,6,63,single
2017-07-09,491422,COL,CWS,90.0,9.788,197.0,109.09,84.15,line_drive,7,Bot,3,60,single
2017-07-09,491428,SF,MIA,70.9,24.046,217.0,89.73,117.59,line_drive,8,Top,3,66,single
2017-07-09,491425,TOR,HOU,65.7,33.883,226.0,167.44,137.55,fly_ball,7,Top,6,64,single
2017-07-09,491423,ARI,CIN,109.3,10.01,205.0,172.57,85.27,line_drive,8,Top,3,62,single
2017-07-09,491427,TEX,LAA,104.0,19.259,339.0,199.95,76.13,line_drive,9,Top,1,62,single
2017-07-09,491424,CLE,DET,96.0,12.161,220.0,173.57,120.7,line_drive,7,Bot,5,58,single
2017-07-09,491425,TOR,HOU,72.0,35.917,226.0,195.13,133.82,fly_ball,7,Top,1,63,double
2017-07-09,491424,CLE,DET,97.9,12.689,245.0,99.95,78.57,line_drive,7,Top,3,56,single
2017-07-09,491422,COL,CWS,89.8,11.683,213.0,157.07,90.38,line_drive,7,Bot,5,57,single
2017-07-09,491421,TB,BOS,82.1,6.255,87.0,94.06,166.13,ground_ball,7,Bot,5,58,single
2017-07-09,491428,SF,MIA,96.5,32.038,376.0,165.87,45.05,fly_ball,7,Bot,3,64,double
2017-07-09,491424,CLE,DET,81.5,8.438,111.0,75.55,118.77,ground_ball,7,Top,9,55,single
